nct_id,title,condition,intervention,enrollment,phase,completion_date,is_digital,has_results
NCT06714279,Laparoscopic-Assisted Transversus Abdominus Plane Block Versus Intraperitoneal Irrigation of Local Anesthetic for Patients Undergoing Laparoscopic Cholecystectomy,Laparoscopic Cholecystectomy,Tap Block - Bupivacaine,144,PHASE1,2025-01,False,False
NCT05591079,"A Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of CS0159 in Subjects With NASH",Nonalcoholic Steatohepatitis (NASH),CS0159 (Linafexor),99,PHASE2,2023-11-09,False,False
NCT01353079,Efficacy and Safety Study Of Short Ragweed Pollen Sublingual-Oral Immunotherapy,Allergy,Short Ragweed Pollen Allergenic Extract,429,PHASE3,2012-04,False,True
NCT03235479,Safety and Efficacy Study in Adult Subjects With Acute Migraines,"Migraine, With or Without Aura",Rimegepant,1485,PHASE3,2018-01-26,False,True
NCT00739479,CCRC: Effects of Partially Hydrolyzed Whey Peptides (PHWP) On Weight Loss In Individuals With The Metabolic Syndrome (METS),Metabolic Syndrome,Weight Loss,35,NA,2010-08,False,False
NCT05193279,Safety and Immunogenicity of SCB-2019 in Children <18 Years of Age,COVID-19,"Candidate vaccine, SCB-2019",0,PHASE2,2022-12-15,False,False
NCT00372879,Clinical Trial of Vitamin E to Treat Muscular Cramps in Patients With ALS,Amyotrophic Lateral Sclerosis,Vitamin E,32,PHASE3,2010-08,False,False
NCT05357079,Impact of Topical Tranexamic Acid on Pre- and Post-operative Hemoglobin/Hematocrit,Fracture of Posterior Wall of Acetabulum,Tranexamic Acid,94,EARLY_PHASE1,2024-12-02,False,False
NCT06091579,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Treprostinil Palmitil Inhalation Powder (TPIP) in Healthy Participants",Healthy Volunteers,Treprostinil Palmitil Inhalation Powder,42,PHASE1,2021-01-12,False,False
NCT03111979,The Effects of 4 Week Î²-alanine Supplementation on Knee Extensor Contractile and Force Properties in the Over 60s,Muscle Function,beta-alanine,24,PHASE4,2018-10,False,False
NCT00339079,Treatment of Hypochondriasis With CBT and/or SSRI,Hypochondriasis,Fluoxetine,195,PHASE1,2011-12,False,True
NCT04669379,Is an Online-tool Capable of Improving Patients' Outcomes After Surgery?,Patients Undergoing Surgery,EXPECT: Preoperative optimization of patient's expectations,29,NA,2022-11-24,False,False
NCT06233279,Study of Application of Transcutaneous Trigeminal Nerve Stimulation on Autism Spectrum Disorder,Autism Spectrum Disorder,"Charge-Balanced, Symmetric Nerve Stimulation",30,NA,2024-08-30,False,False
NCT07017179,"This is a Multi-centre, Multi-drug, Platform Study in Chinese Participants Living With Obesity/Overweight",Obesity/Overweight,AZD6234,871,PHASE2,2026-08-06,False,False
NCT04470479,Oral Pilocarpine in the Treatment of the Dry Eye of Patients With Sjogrens Syndrome,Dry Eye,Pilocarpine Hydrochloride,32,PHASE3,2006-04-01,False,False
NCT01104779,Safety and Efficacy of Cariprazine in Schizophrenia,Schizophrenia,Cariprazine,446,PHASE3,2011-12-15,False,True
NCT02740179,Effects of Eplerenone on Cardiovascular Disease in HIV (MIRACLE HIV Study),HIV,Eplerenone,40,NA,2022-03-17,False,True
